0	1737	3023	4303
1	418	471	718
2	703	683	950
3	966	1165	1305
4	1200	1715	1876
5	1721	2316	2792
6	2663	3062	3936
7	3594	3701	4478
8	3865	3853	4877
9	4698	4394	5381
10	5403	4935	6048
11	6204	5898	6803
12	7378	7205	8316
13	8200	8502	9381
14	9521	10248	11054
15	10836	11104	12696
16	12230	12828	14262
17	13223	14095	16745
18	14556	16148	19729
19	15062	19112	23101
20	15666	23028	27790
21	16691	27301	33724
22	18161	32464	39010
23	19983	37028	44545
24	21502	40778	49936
25	23199	45138	54596
26	24924	48432	59331
27	26792	51384	63530
28	28304	53553	67383
29	29519	54142	71304
30	30396	55266	74412
31	31501	55832	77219
32	31914	56882	80133
33	32653	58096	82809
34	32801	59675	85426
35	32952	60581	87615
36	32926	61292	90570
37	33167	62772	92266
38	33167	64482	94251
39	33580	65254	94491
40	33834	66941	93275
41	34395	67764	93423
42	35486	68903	91594
43	36336	70694	89080
44	37291	72211	86374
45	37998	74335	83142
46	38370	76163	79813
47	38913	77569	76115
48	39245	78713	72266
49	39063	78533	69554
50	39498	78659	66056
51	39306	77371	62841
52	39291	75276	60114
53	39585	73870	58168
54	39323	71095	55313
55	39234	68636	53377
56	39374	66016	50891
57	39364	64010	49160
58	39506	61380	47093
59	39127	59736	44805
60	39320	58407	43306
61	39555	57020	41603
62	39441	54827	39740
63	39705	53661	38344
64	40227	52850	36311
65	40523	50656	34892
66	40807	48186	33458
67	41097	46370	31762
68	41539	44087	30287
69	42071	42758	28792
70	43256	40853	27817
71	44108	38866	26605
72	44035	36774	25959
73	45269	35248	24529
74	45416	33571	23860
75	45897	32308	23000
76	45864	30941	22138
77	46228	29770	21527
78	47069	28978	20821
79	47306	27793	20539
80	47247	27328	20167
81	48211	26542	19253
82	47984	26238	19216
83	48657	25183	18957
84	49119	24764	18325
85	49433	24677	18269
86	49268	24237	18158
87	49992	23630	17897
88	50133	23303	17825
89	51034	22736	17634
90	51674	22426	17408
91	52485	21837	16862
92	54021	20941	16945
93	55942	20571	16819
94	57841	19852	16615
95	60452	18916	16510
96	62368	18653	16482
97	64451	17740	16312
98	65854	17706	16359
99	66079	17338	16379
100	65987	17374	16730
101	64181	17296	16794
102	62944	17323	17004
103	60029	17284	17148
